Patent Number,PageRank,Default Expire Day,Time to Expire
8961986,0.728,2032-12-06,"6485 days, 00:00:00"
8962678,1.5524999999999995,2027-06-29,"4498 days, 00:00:00"
8449894,0.3189375,2027-05-25,"4463 days, 00:00:00"
8968745,0.588133107142857,2033-12-31,"6875 days, 00:00:00"
8969524,0.34125,2031-10-27,"6079 days, 00:00:00"
8961982,0.7874999999999999,2028-06-13,"4848 days, 00:00:00"
8961985,0.575,2032-01-09,"6153 days, 00:00:00"
8961984,0.0,2030-10-07,"5694 days, 00:00:00"
8961992,4.220618518518518,2034-04-02,"6967 days, 00:00:00"
8961981,1.1221874999999997,2032-06-19,"6315 days, 00:00:00"
8962548,13.05855769230769,2025-03-03,"3650 days, 00:00:00"
8956620,0.27749999999999997,2029-05-27,"5196 days, 00:00:00"
8956623,0.6217499999999998,2033-07-17,"6708 days, 00:00:00"
8956622,0.40499999999999997,2026-06-28,"4132 days, 00:00:00"
8956618,7.614961538461545,2031-01-21,"5800 days, 00:00:00"
8951532,0.36675,2031-01-25,"5804 days, 00:00:00"
8951530,0.6387499999999999,2029-03-24,"5132 days, 00:00:00"
8951972,4.9408125,2031-11-14,"6097 days, 00:00:00"
8951531,0.0,2034-05-05,"7000 days, 00:00:00"
8945576,0.43687499999999996,2031-01-11,"5790 days, 00:00:00"
8946161,0.8087499999999999,2033-10-02,"6785 days, 00:00:00"
8945574,0.38214202008928566,2026-12-19,"4306 days, 00:00:00"
8945585,0.0,2031-08-29,"6020 days, 00:00:00"
8945573,0.7295180871212121,2028-03-10,"4753 days, 00:00:00"
8945575,1.0992374999999999,2030-12-01,"5749 days, 00:00:00"
8945577,0.0,2032-04-12,"6247 days, 00:00:00"
8945578,0.5881331071428573,2033-12-31,"6875 days, 00:00:00"
8940306,1.0758625,2033-09-05,"6758 days, 00:00:00"
8936792,5.021860307017548,2030-09-10,"5667 days, 00:00:00"
8937218,0.4156249999999999,2029-11-26,"5379 days, 00:00:00"
8932598,7.5072544354083455,2033-06-28,"6689 days, 00:00:00"
8933038,0.588133107142857,2033-12-31,"6875 days, 00:00:00"
8926981,0.6599999999999999,2032-09-12,"6400 days, 00:00:00"
8921050,0.8716826923076921,2027-03-16,"4393 days, 00:00:00"
8921515,0.0,2032-12-27,"6506 days, 00:00:00"
8920807,2.3748749999999994,2030-11-02,"5720 days, 00:00:00"
8920809,0.2822222222222222,2030-08-17,"5643 days, 00:00:00"
8921316,0.9693392857142854,2033-06-04,"6665 days, 00:00:00"
8916163,0.6599999999999999,2028-12-22,"5040 days, 00:00:00"
8916165,11.293743483766917,2025-12-15,"3937 days, 00:00:00"
8912145,0.4156249999999999,2031-11-07,"6090 days, 00:00:00"
8911743,0.59625,2030-11-04,"5722 days, 00:00:00"
8907053,1.8712499999999994,2031-06-24,"5954 days, 00:00:00"
8906382,3.0041806675170073,2032-07-19,"6345 days, 00:00:00"
8906385,1.4249999999999996,2032-12-03,"6482 days, 00:00:00"
8900600,0.27749999999999997,2029-04-02,"5141 days, 00:00:00"
8900598,0.59625,2028-10-30,"4987 days, 00:00:00"
8895016,12.600375000000003,2029-06-26,"5226 days, 00:00:00"
8895018,0.5962499999999998,2033-06-21,"6682 days, 00:00:00"
8894973,0.6599999999999999,2032-08-13,"6370 days, 00:00:00"
8895017,1.509960386138006,2031-05-23,"5922 days, 00:00:00"
8895006,0.0,2032-03-05,"6209 days, 00:00:00"
8889141,0.0,2030-09-28,"5685 days, 00:00:00"
8889140,0.7874999999999999,2028-05-30,"4834 days, 00:00:00"
8889144,1.6092374999999997,2030-08-31,"5657 days, 00:00:00"
8889143,0.2757139880952381,2029-12-10,"5393 days, 00:00:00"
8889129,3.382921874999998,2033-06-11,"6672 days, 00:00:00"
8889142,0.0,2025-10-11,"3872 days, 00:00:00"
8889146,2.7333975274725275,2030-06-24,"5589 days, 00:00:00"
8883164,2.20554685970052,2031-12-23,"6136 days, 00:00:00"
8883160,9.690536887158899,2031-02-28,"5838 days, 00:00:00"
8883153,0.7908552631578946,2030-03-29,"5502 days, 00:00:00"
8883172,0.25625,2028-06-13,"4848 days, 00:00:00"
8883173,0.0,2028-10-24,"4981 days, 00:00:00"
8883724,0.305390625,2029-11-04,"5357 days, 00:00:00"
8877204,1.5567499999999999,2024-02-20,"3273 days, 00:00:00"
8877738,0.1925,2030-08-05,"5631 days, 00:00:00"
8871708,0.2809326923076923,2033-08-30,"6752 days, 00:00:00"
8871212,2.615513058712122,2028-12-19,"5037 days, 00:00:00"
8865176,0.7672948964497041,2032-07-16,"6342 days, 00:00:00"
8865179,0.9983920200892855,2028-01-26,"4709 days, 00:00:00"
8865180,2.7424999999999993,2030-10-11,"5698 days, 00:00:00"
RE45196,5.654964285714288,2032-05-18,"6283 days, 00:00:00"
8858952,1.2127897727272725,2030-02-19,"5464 days, 00:00:00"
8859198,0.479375,2027-06-04,"4473 days, 00:00:00"
8853159,3.5287499999999987,2032-05-29,"6294 days, 00:00:00"
8853382,2.0624999999999996,2031-08-04,"5995 days, 00:00:00"
8852601,0.8512499999999998,2023-01-22,"2879 days, 00:00:00"
8846050,0.34125,2031-05-11,"5910 days, 00:00:00"
8846058,0.27749999999999997,2027-02-16,"4365 days, 00:00:00"
8840900,0.44749999999999995,2029-07-01,"5231 days, 00:00:00"
8834888,2.9831562499999995,2033-02-14,"6555 days, 00:00:00"
8828404,0.7662499999999999,2031-04-29,"5898 days, 00:00:00"
8828403,0.776875,2029-06-16,"5216 days, 00:00:00"
8828942,0.34124999999999994,2030-08-20,"5646 days, 00:00:00"
8828723,1.9392499999999995,2033-02-26,"6567 days, 00:00:00"
8821887,0.7415468749999999,2029-08-14,"5275 days, 00:00:00"
8821883,1.3219812843406598,2032-10-04,"6422 days, 00:00:00"
8822182,5.569084359643548,2030-10-21,"5708 days, 00:00:00"
8821886,0.6782142857142857,2029-02-19,"5099 days, 00:00:00"
8822418,2.0237718749999996,2030-05-24,"5558 days, 00:00:00"
8821884,3.02954365079365,2025-07-27,"3796 days, 00:00:00"
8821895,7.907466309523815,2032-10-24,"6442 days, 00:00:00"
8815249,0.5325,2030-07-26,"5621 days, 00:00:00"
8815247,0.0,2033-03-13,"6582 days, 00:00:00"
8541000,0.0,2028-12-30,"5048 days, 00:00:00"
8821885,15.184475642066252,2028-08-27,"4923 days, 00:00:00"
8815250,9.43574427759741,2033-03-11,"6580 days, 00:00:00"
8815256,0.6652973214285713,2032-07-24,"6350 days, 00:00:00"
8808697,0.8937499999999998,2031-04-28,"5897 days, 00:00:00"
8802112,0.0,2029-03-16,"5124 days, 00:00:00"
8802634,0.46875,2029-07-13,"5243 days, 00:00:00"
8802110,1.9748750000000004,2031-09-21,"6043 days, 00:00:00"
8795675,0.30937499999999996,2032-12-20,"6499 days, 00:00:00"
8795674,0.0,2026-09-28,"4224 days, 00:00:00"
8791233,0.5325,2032-05-23,"6288 days, 00:00:00"
8790665,0.59625,2030-11-17,"5735 days, 00:00:00"
8790653,2.5682052631578944,2031-11-01,"6084 days, 00:00:00"
8790663,0.7874999999999999,2029-04-03,"5142 days, 00:00:00"
8784827,0.5325,2028-05-09,"4813 days, 00:00:00"
8784825,1.9392499999999993,2029-08-28,"5289 days, 00:00:00"
8784842,0.575,2028-07-14,"4879 days, 00:00:00"
8784834,0.6217499999999999,2032-07-24,"6350 days, 00:00:00"
8784829,0.9143827639751552,2029-10-21,"5343 days, 00:00:00"
8778885,3.21,2031-06-08,"5938 days, 00:00:00"
8778348,2.953383720446223,2028-04-28,"4802 days, 00:00:00"
8778350,0.588133107142857,2032-03-02,"6206 days, 00:00:00"
8779088,1.538021978021978,2028-12-17,"5035 days, 00:00:00"
8769841,18.765000000000008,2032-09-24,"6412 days, 00:00:00"
8765135,0.5992857142857142,2024-10-04,"3500 days, 00:00:00"
8765146,6.433625000000006,2026-08-31,"4196 days, 00:00:00"
8758771,1.7161249999999997,2024-10-29,"3525 days, 00:00:00"
8759483,0.5562581071428571,2027-02-21,"4370 days, 00:00:00"
8759485,0.34125,2025-09-02,"3833 days, 00:00:00"
8758761,2.4917499999999992,2028-09-30,"4957 days, 00:00:00"
8758765,5.369645089285717,2029-06-19,"5219 days, 00:00:00"
8758766,1.2114374999999997,2029-12-22,"5405 days, 00:00:00"
8758764,0.25625,2026-02-17,"4001 days, 00:00:00"
8758772,4.192102589053482,2032-11-02,"6451 days, 00:00:00"
8753644,0.7598750000000001,2030-02-05,"5450 days, 00:00:00"
8753642,0.6599999999999999,2028-01-18,"4701 days, 00:00:00"
8748565,1.0076499999999997,2028-04-02,"4776 days, 00:00:00"
8748566,1.0076499999999997,2028-11-07,"4995 days, 00:00:00"
8748377,4.266125,2029-12-10,"5393 days, 00:00:00"
8741302,0.19553571428571428,2030-04-26,"5530 days, 00:00:00"
8741306,0.5325,2029-06-05,"5205 days, 00:00:00"
8742088,0.3688096590909091,2029-09-24,"5316 days, 00:00:00"
8741303,2.082137216071428,2032-08-16,"6373 days, 00:00:00"
8735343,1.7118749999999996,2032-10-03,"6421 days, 00:00:00"
8734815,1.6374999999999995,2027-07-20,"4519 days, 00:00:00"
8734811,1.5669955357142855,2030-04-06,"5510 days, 00:00:00"
8734807,0.6599999999999999,2033-04-06,"6606 days, 00:00:00"
8735542,0.0,2032-02-17,"6192 days, 00:00:00"
8735355,1.4781249999999995,2032-03-21,"6225 days, 00:00:00"
8735543,1.2666874999999997,2031-05-27,"5926 days, 00:00:00"
8728492,0.34124999999999994,2029-01-12,"5061 days, 00:00:00"
8728483,14.940897812499985,2032-06-26,"6322 days, 00:00:00"
8729247,2.072548214285714,2032-12-06,"6485 days, 00:00:00"
8728438,0.0,2033-07-29,"6720 days, 00:00:00"
8722053,1.2210804924242422,2031-06-02,"5932 days, 00:00:00"
8722871,1.6257199276176948,2032-10-05,"6423 days, 00:00:00"
8716443,0.27749999999999997,2029-05-07,"5176 days, 00:00:00"
8715683,7.682015256696436,2033-02-12,"6553 days, 00:00:00"
8715693,0.27749999999999997,2032-03-16,"6220 days, 00:00:00"
8715698,0.21071428571428572,2028-09-19,"4946 days, 00:00:00"
8715679,0.0,2025-02-09,"3628 days, 00:00:00"
8715680,0.27749999999999997,2027-05-09,"4447 days, 00:00:00"
8715681,0.1925,2032-02-02,"6177 days, 00:00:00"
8715682,0.5919999999999999,2032-04-18,"6253 days, 00:00:00"
8709435,0.8207031249999999,2031-07-08,"5968 days, 00:00:00"
8709446,0.3382142857142857,2030-07-02,"5597 days, 00:00:00"
8710004,0.9693392857142854,2032-03-23,"6227 days, 00:00:00"
8709434,0.9149999999999998,2027-11-13,"4635 days, 00:00:00"
8703432,0.40499999999999997,2031-01-28,"5807 days, 00:00:00"
8703151,0.4550892857142857,2032-09-20,"6408 days, 00:00:00"
8703702,0.8087499999999999,2033-06-03,"6664 days, 00:00:00"
8703908,0.64926875,2032-06-26,"6322 days, 00:00:00"
8703705,0.21375,2030-05-17,"5551 days, 00:00:00"
8703144,0.9921830357142855,2031-10-28,"6080 days, 00:00:00"
8703147,0.34125,2028-11-05,"4993 days, 00:00:00"
8703148,0.40499999999999997,2027-03-29,"4406 days, 00:00:00"
8697083,0.33593749999999994,2027-04-11,"4419 days, 00:00:00"
8697076,0.734375,2032-04-27,"6262 days, 00:00:00"
8697091,0.40499999999999997,2028-11-06,"4994 days, 00:00:00"
8697082,3.3337609480636576,2024-08-09,"3444 days, 00:00:00"
8697081,0.9405000000000001,2029-04-08,"5147 days, 00:00:00"
8691945,4.791000000000001,2027-04-27,"4435 days, 00:00:00"
8691236,0.0,2026-03-23,"4035 days, 00:00:00"
8691237,0.21375,2030-12-03,"5751 days, 00:00:00"
8685404,0.5962499999999998,2032-01-30,"6174 days, 00:00:00"
8685403,0.6599999999999999,2030-01-29,"5443 days, 00:00:00"
8673293,0.0,2028-10-31,"4988 days, 00:00:00"
8673319,0.7874999999999999,2032-06-21,"6317 days, 00:00:00"
8669355,0.0,2032-05-14,"6279 days, 00:00:00"
8663646,0.21375,2029-12-03,"5386 days, 00:00:00"
8663645,0.49000000000000005,2026-05-09,"4082 days, 00:00:00"
8663647,0.6538526785714286,2032-08-03,"6360 days, 00:00:00"
8663651,5.06482142857143,2027-12-23,"4675 days, 00:00:00"
8658180,0.29874999999999996,2029-08-14,"5275 days, 00:00:00"
8658177,0.4333536998879096,2032-08-16,"6373 days, 00:00:00"
8658176,4.381644525650978,2030-06-22,"5587 days, 00:00:00"
8658766,0.27749999999999997,2029-06-29,"5229 days, 00:00:00"
8652488,2.1026093749999992,2026-04-13,"4056 days, 00:00:00"
8652484,2.5920167579215665,2032-12-11,"6490 days, 00:00:00"
8652485,1.2066352213541667,2028-08-15,"4911 days, 00:00:00"
8647630,1.3884980654761903,2031-09-12,"6034 days, 00:00:00"
8647632,0.8597499999999998,2030-08-02,"5628 days, 00:00:00"
8647818,0.51125,2026-02-16,"4000 days, 00:00:00"
8647628,1.8078284090909087,2033-01-08,"6518 days, 00:00:00"
8647629,1.4568749999999997,2029-05-14,"5183 days, 00:00:00"
8647634,1.9009999999999996,2029-12-24,"5407 days, 00:00:00"
8647631,1.0531249999999999,2030-04-01,"5505 days, 00:00:00"
8642044,10.518118483766923,2027-08-20,"4550 days, 00:00:00"
8642043,1.7440784090909085,2033-01-08,"6518 days, 00:00:00"
